time,open,high,low,close,tick_volume,spread,real_volume
2024-11-11 08:00:00,1330.72,1332.47,1326.77,1327.35,2139,68,0
2024-11-11 16:00:00,1327.1,1329.08,1324.37,1327.37,606,68,0
2024-11-12 08:00:00,1316.59,1322.85,1316.34,1320.86,2259,68,0
2024-11-12 16:00:00,1320.86,1321.36,1313.96,1314.33,600,68,0
2024-11-13 08:00:00,1319.43,1319.43,1310.86,1312.53,2264,68,0
2024-11-13 16:00:00,1312.54,1313.62,1310.04,1310.94,800,68,0
2024-11-14 08:00:00,1320.22,1331.3,1319.72,1331.18,1165,68,0
2024-11-14 16:00:00,1331.18,1335.65,1331.05,1333.36,359,68,0
2024-11-15 08:00:00,1326.91,1349.05,1326.66,1344.57,1522,68,0
2024-11-15 16:00:00,1344.57,1355.32,1343.74,1353.25,578,68,0
2024-11-18 08:00:00,1350.51,1350.89,1341.21,1347.04,1765,68,0
2024-11-18 16:00:00,1347.04,1354.71,1346.55,1351.24,643,68,0
2024-11-19 08:00:00,1354.05,1356.04,1345.06,1346.83,1908,68,0
2024-11-19 16:00:00,1346.71,1356.96,1345.08,1356.84,700,68,0
2024-11-20 08:00:00,1363.46,1371.69,1363.46,1370.48,1840,68,0
2024-11-20 16:00:00,1370.6,1371.81,1367.98,1368.71,608,68,0
2024-11-21 08:00:00,1369.19,1380.22,1364.97,1376.67,2216,68,0
2024-11-21 16:00:00,1376.8,1379.89,1373.37,1379.89,683,68,0
2024-11-22 08:00:00,1382.24,1384.78,1376.13,1380.15,1446,68,0
2024-11-22 16:00:00,1380.28,1382.5,1377.13,1381.11,357,68,0
2024-11-25 08:00:00,1390.5,1394.91,1389.05,1393.67,1121,68,0
2024-11-25 16:00:00,1393.67,1393.69,1383.73,1385.23,574,68,0
2024-11-26 08:00:00,1380.17,1382.77,1374.24,1374.58,1280,68,0
2024-11-26 16:00:00,1374.46,1374.46,1367.33,1367.58,526,68,0
2024-11-27 08:00:00,1366.36,1367.36,1362.64,1363.78,1425,68,0
2024-11-27 16:00:00,1363.78,1369.77,1362.83,1364.87,512,68,0
2024-11-28 08:00:00,1369.5,1370.83,1363.42,1366.06,1249,68,0
2024-11-28 16:00:00,1366.06,1367.49,1365.07,1366.86,415,68,0
2024-11-29 08:00:00,1361.54,1364.24,1358.97,1360.58,1278,68,0
2024-11-29 16:00:00,1360.58,1363.05,1359.27,1360.12,507,68,0
2024-12-02 08:00:00,1358.97,1363.68,1358.72,1361.63,1373,68,0
2024-12-02 16:00:00,1361.63,1363.2,1356.72,1358.79,680,68,0
2024-12-03 08:00:00,1364.45,1376.85,1364.45,1374.51,1461,68,0
2024-12-03 16:00:00,1374.51,1375.81,1372.7,1374.53,467,68,0
2024-12-04 08:00:00,1379.73,1385.79,1379.38,1384.33,1387,68,0
2024-12-04 16:00:00,1384.33,1385.17,1377.08,1377.57,470,68,0
2024-12-05 08:00:00,1378.1,1380.58,1372.48,1375.06,1227,68,0
2024-12-05 16:00:00,1375.06,1377.47,1373.07,1375.36,414,68,0
2024-12-06 08:00:00,1376.07,1378.1,1363.35,1363.53,1307,68,0
2024-12-06 16:00:00,1363.53,1364.51,1354.27,1354.93,519,68,0
2024-12-09 08:00:00,1361.51,1362.43,1357.61,1358.63,1684,68,0
2024-12-09 16:00:00,1358.63,1361.49,1356.24,1357.65,604,68,0
2024-12-10 08:00:00,1355.47,1356.63,1348.24,1353.91,1356,68,0
2024-12-10 16:00:00,1354.03,1354.54,1350.57,1352.96,610,68,0
2024-12-11 08:00:00,1347.42,1360.31,1347.42,1358.1,2097,68,0
2024-12-11 16:00:00,1357.97,1358.21,1350.2,1351.45,766,68,0
2024-12-12 08:00:00,1360.45,1360.7,1349.55,1351.74,2132,68,0
2024-12-12 16:00:00,1351.61,1352.68,1347.01,1349.89,722,68,0
