corr,alpha,beta,phi,half_life_bars,n_obs,adf_stat,adf_p,adf_cv_5pct,sym1,sym2,timeframe
0.9988699141798235,0.02170049632711546,0.9947984286479927,-0.001875043559040904,0.1103891638515909,221,,,,WTI_V5,WTI_Z5,D1
0.9965525315687045,0.13674608780038966,0.9668878857960864,0.8786587677092103,5.358336048301172,256,,,,BRENT_F6,XBRUSD,D1
0.9964028992820014,0.1836610138803314,0.968770720450753,0.9139763605214541,7.705867434096485,258,,,,XAUCHF,XAUEUR,D1
0.99610632535376,0.1692397988377019,0.958520962568564,0.8645009521114299,4.760532320432882,258,,,,WTI_Z5,XTIUSD,D1
0.994992242546165,0.5027297986615782,0.9662176349520687,0.772898873458069,2.6907149751332953,79,,,,GCZ25,XAUCHF,D1
0.9948727116711267,0.7907482164104342,0.9221709840071496,0.7912978575185634,2.9611446549148734,79,,,,GCZ25,XAUEUR,D1
0.9943081424484576,0.7726585293128108,0.9075701558626518,0.9170289255072396,8.002506132137457,258,,,,XAGAUD,XAGUSD,D1
0.9939430305663897,1.32339863568893,0.8511302218755211,0.9478058563183828,12.930501700133588,258,,,,XAUEUR,XAUGBP,D1
0.9936855054446387,0.24528835932591608,0.9405373662677354,0.7070092133006907,1.9992039992021546,221,,,,WTI_V5,XTIUSD,D1
0.9933287982038389,0.06727185198999486,0.9442331574785213,0.8426113018603224,4.047586205999614,79,,,,GCZ25,XAUAUD,D1
0.9931716542684065,3.030721772554708,0.8358032993622796,0.9768355396051371,29.57494452924879,222,,,,DXY_Z5,USDDKK,D1
0.9925319704661714,1.2245580827091356,0.8836834407994476,0.8753913975125892,5.20833636524914,79,,,,GCZ25,XAUGBP,D1
0.9919041100055697,1.2417540069600586,0.7476690242418865,0.9366470330124383,10.590683600287257,258,,,,US500,USTEC,D1
0.9914749222752209,-2.4560490680613203,0.8078719514224703,0.8334237092913778,3.804046672382176,79,,,,GCZ25,XAUJPY,D1
0.9912093955587741,0.7665978621165892,1.2282931711794884,0.9726428227937778,24.98876504516974,223,,,,USDCZK,USDDKK,D1
0.9908952632860614,-2.4953130359012325,0.9512500995110552,0.9554460986481124,15.208290738209074,223,,,,USDCZK,USDHUF,D1
0.9907750283272093,-3.659294797789518,0.8763759641524691,0.9299544803585745,9.544899722304423,258,,,,XAUGBP,XAUJPY,D1
0.9899442704932436,0.3573864340542392,0.926295148321206,0.9588509958038306,16.495809897876168,258,,,,XBRUSD,XTIUSD,D1
0.9893665421164288,0.3195196826460318,0.935461563433665,0.8981441587453434,6.452401005028018,256,,,,BRENT_F6,WTI_Z5,D1
0.9893354951515443,-2.275429707124127,1.1062897805883345,0.8908334370482988,5.9961965593915965,223,,,,USDCHF,USDDKK,D1
0.9881491402292957,-0.12171453733411752,1.0162013592564185,0.923552157597937,8.715762454890157,258,,,,WTI_Z5,XBRUSD,D1
0.9879766408331345,1.4812565738167756,0.8225593006404445,0.9433946854618942,11.895327592506739,258,,,,XAUCHF,XAUGBP,D1
0.9875536676431642,0.0830316928691639,0.9685725028429016,0.7211288962717824,2.1201221267755455,221,,,,WTI_V5,XBRUSD,D1
0.9874422196638628,0.4721919938086847,0.8980112088448966,0.9329470253551649,9.986724580414458,256,,,,BRENT_F6,XTIUSD,D1
0.9870709473750903,-0.017689163273049147,1.0935793925444355,0.9680878911105767,21.372059949707477,258,,,,XAUAUD,XAUGBP,D1
0.986891859295726,0.18945206066485998,0.9661332508730774,0.7352367547257656,2.2536775222758108,221,,,,BRENT_F6,WTI_V5,D1
0.9861511838740183,0.4561031541706091,1.0825652341454521,0.9031471111512631,6.804244340766434,223,,,,USDDKK,USDPLN,D1
0.9858051907064026,5.680042228993961,0.6751557736697887,0.814239835757706,3.372973763730748,79,,,,GCZ25,XAGUSD,D1
0.9844902909968194,4.021729246190606,1.395056116234554,0.942363440103844,11.676169558055939,223,,,,USDHUF,USDPLN,D1
0.9840885114516222,-2.9267648178843326,0.8880201984540759,0.9087339170670992,7.242694127303664,223,,,,USDCHF,USDCZK,D1
0.9840752911293298,1.3149216038983425,1.3386761628181292,0.9160078752190658,7.900885403167065,223,,,,USDCZK,USDPLN,D1
0.9832692192844058,5.805215096616154,0.6691539086488311,0.8137927475337884,3.3639828997705954,79,,,,GCZ25,XAGEUR,D1
0.983073648922853,-0.401148133772792,1.0911056950812688,0.8967065811201502,6.357598020716871,259,,,,CHFJPY,EURJPY,D1
0.9821980395869119,5.36756697277861,0.6813165284893714,0.8383641509130498,3.93157382870476,79,,,,GCZ25,XAGAUD,D1
