corr,alpha,beta,phi,half_life_bars,n_obs,adf_stat_x,adf_p_x,adf_cv_5pct_x,sym1,sym2,timeframe,adf_stat_y,adf_p_y,adf_cv_5pct_y,n_obs_adf
0.9323889979799,3.839760194000706,0.1899641964780868,0.971955102355331,24.367408602866348,773,,,,CHFJPY,XPTUSD,H8,-3.1421324302829694,0.02358828559907541,-2.865295977855759,773
0.9322521687131566,4.201536330091084,1.967018681985276,0.9575320369054892,15.972568670945908,507,,,,ES35,SEKJPY,H8,-3.5538944172260494,0.006706168109946404,-2.867396599893435,507
0.9319221439145722,1.7637517104189433,0.8863541906695526,0.942753991072634,11.758239960499877,236,,,,GCZ25,XPTUSD,H8,-2.8901774285279895,0.04650221005686251,-2.8740800599399323,236
0.931454032853962,1.8312182035302391,1.9059968922579469,0.986329992610218,50.358323078139286,668,,,,USDNOK,USDSGD,H8,-2.495809533754526,0.11649724257264932,-2.86596268312982,668
0.930799455955583,5.947408581209912,0.39717453285213,0.9366816046356083,10.596659500075,250,,,,CA60,XAGUSD,H8,-2.8298536024806884,0.054134304453145994,-2.8732185133016057,250
0.9305337937691408,-0.7250936455587924,0.9285182747273109,0.955158081327191,15.108348328572369,250,,,,CA60,US500,H8,-1.7596242194407659,0.4006832517174396,-2.873459364726563,250
0.9290158921693008,-3.454946252893277,1.1050640404700391,0.9607378647586284,17.30545532238138,668,,,,USDCHF,USDMXN,H8,-2.501703112043633,0.11506048895759458,-2.8659091963995573,668
0.9282310209900404,-0.1591761054731701,0.8987808531160627,0.977729609236039,30.77628437664645,668,,,,AUDCHF,CADCHF,H8,-2.7690503389361645,0.06283251059226655,-2.8659158113822065,668
0.9275632715282346,-5.172925179032895,1.8212938709135804,0.957311308190726,15.888161657254136,491,,,,SA40,UK100,H8,-2.4639141359291283,0.12450305353591001,-2.867517732199813,491
0.926939367873326,-7.194180968862124,1.4078200099343414,0.9902081314515055,70.44089782612305,773,,,,XAGAUD,XAUEUR,H8,-2.2795432656821375,0.1786505745545769,-2.865305765357574,773
0.9267828810953408,-1.0391790635035971,0.9897466356882636,0.9724911081517912,24.84901994777673,668,,,,USDDKK,USDMXN,H8,-2.257629241343522,0.18599757275297546,-2.8659091963995573,668
0.9267814271709656,0.5314464607092253,0.6015045962054653,0.9284989674520608,9.34336781587047,241,,,,CA60,SA40,H8,-1.895836402016592,0.3340223266562676,-2.8737103617125186,241
0.9265412143341724,-1.9439650445084504,0.6976634666727174,0.9416756416911948,11.534307023057512,668,,,,AUDCHF,USDDKK,H8,-4.507200511847895,0.00019083212439107358,-2.8659357770630662,668
0.9264728524685468,2.130105879171175,0.3154116980211625,0.9353646048355206,10.373523811033632,665,,,,AUDJPY,US2000,H8,-4.721229669040786,7.67555123276355e-05,-2.8659026013871864,665
0.9263243117395132,0.1642570306426333,1.270618359334637,0.9800979748306524,34.480237500075454,776,,,,EURNZD,EURSGD,H8,-2.3292351603725554,0.16271231263112867,-2.8653156040031176,776
0.9262360201614058,0.1204175112835201,0.8002569071105698,0.9723188246794364,24.69218610116464,668,,,,USDCAD,USDSGD,H8,-2.470978043646402,0.12269629270267424,-2.865896026254794,668
0.9258783114679044,1.1624223755572256,1.289855674656873,0.9429908731425722,11.808566060374122,496,,,,IT40,NOR25,H8,-2.7177542376145163,0.0710160761682741,-2.867567599912013,496
0.9257785688338824,-0.5961135911240305,0.6545158622181746,0.9906303968860384,73.6311688298586,773,,,,XAGAUD,XPTUSD,H8,-1.4977125863989416,0.5346425847026522,-2.865295977855759,773
0.9253740256527476,-0.4689000593707926,0.4738146596226616,0.9675195998126428,20.991994538613017,776,,,,EURGBP,EURNZD,H8,-3.312973774522842,0.014308413392697185,-2.8653354363373253,776
0.9251274270979112,4.699508610485701,0.8544738929923011,0.9737779804278436,26.085674776613622,497,,,,SA40,XAUGBP,H8,-2.5872104850040243,0.09566951580099453,-2.867384756137026,497
0.9248651617094944,5.232161611432577,0.302982149656511,0.9325129200489632,9.920203793926508,250,,,,CA60,XPTUSD,H8,-2.918162656896931,0.043276327647827066,-2.8732185133016057,250
0.9231206032613344,-0.3963619331423764,0.3639632885090402,0.960731301168644,17.302504082239224,773,,,,SEKJPY,XAUAUD,H8,-3.744792947061701,0.003525443434491342,-2.865295977855759,773
0.9229125248268246,0.4775290708729029,0.6745744454501515,0.9664564383461216,20.31554576220755,776,,,,EURAUD,EURUSD,H8,-3.186180212095236,0.02079868872790198,-2.8653304587462944,776
0.9227491211212832,3.290881927296444,0.6703650780451686,0.9663932351892548,20.2766796981528,728,,,,DE40,HK50,H8,-2.648795437364965,0.08332565792218882,-2.865551414233055,728
0.9226281509849128,2.9519301391200843,0.7711773196009272,0.962067478760068,17.924356732824634,507,,,,ES35,XAUAUD,H8,-3.0544935617897564,0.030109345886219864,-2.867396599893435,507
0.9225833204235624,1.7050970456890526,0.9471048839076353,0.9719362267828214,24.350783858475484,668,,,,USDMXN,USDPLN,H8,-2.1602591784225265,0.22098381008506285,-2.8659559257802867,668
0.9219040406822944,-4.4141239020031,0.8218154351211541,0.9433428068161652,11.884111932745032,665,,,,AUDCHF,DXY_Z5,H8,-4.507286917791793,0.00019076343236180222,-2.8659559257802867,665
0.920849731971056,-7.333591850164483,1.437034867153658,0.990508108070341,72.67806224614979,773,,,,XAGAUD,XAUCHF,H8,-1.9852610299329791,0.29307278057478503,-2.8653008652386576,773
0.9206965601375158,-0.4080098771167113,0.6466358413012375,0.9769800330186024,29.762775144692707,776,,,,EURGBP,EURSGD,H8,-2.917957965032139,0.04329922907645648,-2.865276554696385,776
0.9206665657462856,-0.323189257436109,0.7525110298888125,0.9729032718220042,25.23231476889301,507,,,,ES35,XAUJPY,H8,-2.554996158767704,0.10265986853810244,-2.867326248740681,507
0.9201540154122854,1.3448509542355709,0.2128993847868719,0.9440751142839602,12.044355365305735,668,,,,USDCNH,USDMXN,H8,-3.29707109211913,0.015009905467013902,-2.8659559257802867,668
0.919947331406648,-4.428370231394607,0.8480669087144366,0.9785963724222544,32.0367422368751,665,,,,CADCHF,DXY_Z5,H8,-1.8946011422555635,0.3346051507924316,-2.8659158113822065,665
0.9195786867670004,0.47983858488092,0.5371183964314696,0.97521082919404,27.61366936915103,776,,,,GBPCHF,NZDCHF,H8,-3.254156055428471,0.01705626856924584,-2.8653354363373253,776
