timeframe,sym1,sym2,n_obs,corr,alpha,beta,adf_stat,adf_p,phi,half_life_bars,adf_cv_5pct
D1,AUDCAD,AUDCHF,36,0.5829241249595645,0.5721524666010475,1.0461723975040116,-1.1232878421392594,0.7056962074805441,0.8992362364369925,6.526225683062733,-2.9485102040816327
D1,AUDCAD,AUDJPY,36,0.8737707735080925,-4.449036103275173,0.9508679139481075,-2.5319972051361024,0.10788186753770562,0.7461741263644421,2.3673359190031515,-2.960525341210433
D1,AUDCAD,AUDNZD,36,0.730060061859776,-0.18654357938009652,0.840259823176606,-3.1599188083639067,0.022425152954492465,0.8189787046862189,3.4709910340537213,-2.960525341210433
D1,AUDCAD,AUDSGD,36,0.9136179043141591,0.08669527231840456,1.0870545751487934,-2.379042885339014,0.14773896839274414,0.8025080660430174,3.150477498127924,-2.9572185644531253
D1,AUDCAD,AUDUSD,36,0.9029417818872739,0.26366548065160894,0.8650088559508544,-3.302860755400667,0.014751081924844967,0.7303371212103412,2.20572567894065,-2.9485102040816327
D1,AUDCAD,AUS200,36,-0.09424973807068047,0.6886890095637106,-0.08716254664108518,-1.6136997995986198,0.4760337577917354,0.9652563904709636,19.60173418396276,-2.9572185644531253
D1,AUDCAD,BRENT_F6,36,-0.21289706979908393,0.30129129056476306,-0.09609637724467547,-1.0316600336164166,0.7415426383047473,0.9696273145945168,22.473044118581182,-2.9512301791166293
D1,AUDCAD,CA60,36,0.8459225067561434,-2.840827642399973,0.36860792874936804,-3.025242869129367,0.03260333842991729,0.8312176197900779,3.7495051773577974,-2.9572185644531253
D1,AUDCAD,CADCHF,36,-0.8297324842853893,-0.655620596540369,-1.0179433061737306,-2.9719198729930536,0.037601249185891056,0.765489219748754,2.593723994505606,-2.954126991123355
D1,AUDCAD,CADJPY,36,-0.401496693917108,3.715806032387504,-0.817216595542669,-0.5551381004438755,0.8808002421499884,0.9633781089289295,18.57839831525421,-2.9485102040816327
D1,AUDCAD,CHFJPY,36,0.7442125751982849,-5.984224468780122,1.1276254191530428,-2.093414103206826,0.24717105696735325,0.7865133346092519,2.886362165427131,-2.9485102040816327
D1,AUDCAD,Cocoa_H6,36,-0.6813864719484791,0.9679585338875906,-0.11935786572435883,-1.9914205132374472,0.2903475290540838,0.788435008608102,2.915993797271466,-2.9485102040816327
D1,AUDCAD,Coffee_H6,36,0.6672018337580752,-0.4395832287058633,0.05749886644125377,-1.2707281800454224,0.642455571226658,0.9012137279761021,6.664054139154317,-2.9485102040816327
D1,AUDCAD,Corn_Z5,36,0.6656389755038047,-0.9762743178947991,0.14551123765281182,-1.6966477989548907,0.43284045410755073,0.8374878223650666,3.908389201392986,-2.9485102040816327
D1,AUDCAD,Cotton_H6,36,-0.29840947006166074,1.0551319488763158,-0.2754745298886938,-2.287879175468114,0.17590698291804746,0.9329798427120486,9.991788418586188,-2.9572185644531253
D1,AUDCAD,DE40,36,-0.7334236139234784,5.730789461471418,-0.57844757674263,-2.4307731186485113,0.133238599348466,0.7108870345517027,2.031249670241651,-2.9485102040816327
D1,AUDCAD,DXY_Z5,36,-0.7357414427846172,4.98891961454493,-1.1111319478247674,-2.700004315192968,0.07403752232566796,0.7298233483675755,2.2007972710038883,-2.9485102040816327
D1,AUDCAD,ES35,36,0.46618111363089776,-1.8894097505615126,0.1858514184506382,-0.9115873622454036,0.7841325861935056,0.9427414212727354,11.75558111048232,-2.9485102040816327
D1,AUDCAD,EURAUD,36,-0.6896683147041512,0.5123190964671778,-1.0628617923374155,-1.4545903492471823,0.5558434519426307,0.8604726328487635,4.612571943422568,-2.9485102040816327
D1,AUDCAD,EURCAD,36,0.7598849782462671,-0.6013047249531677,1.045777861431688,-2.198729868487398,0.20670676426302903,0.8527024801286258,4.349988937224208,-2.954126991123355
D1,AUDCAD,EURCHF,36,-0.32329513174212127,-0.15798477686043857,-0.8261357465662629,-1.1013721641833139,0.7145243918326849,0.9225956615997717,8.603661334960833,-2.9485102040816327
D1,AUDCAD,EURGBP,36,0.06372522030900693,-0.0763674213054898,0.18795608208782102,-1.0612887863440534,0.7302601321472215,0.9648456354786675,19.368603239309927,-2.9512301791166293
D1,AUDCAD,EURJPY,36,0.740451759957845,-8.036999965406888,1.5405969728276894,-3.029987981627585,0.03218722659151591,0.7265161304819575,2.169511457408976,-2.954126991123355
D1,AUDCAD,EURNZD,36,0.20344348686733557,-0.2549281968375955,0.2233349339747811,-2.0223616298848914,0.27685518245993973,0.9431519280590857,11.843021964519105,-2.9572185644531253
D1,AUDCAD,EURSGD,36,0.7164956679471293,-0.7550946112514832,1.610618594740046,-2.350733248886807,0.15612687018688515,0.7387296073951005,2.2889491877897004,-2.9485102040816327
D1,AUDCAD,EURUSD,36,0.6936164942058122,-0.2542912838423932,0.972480516026181,-2.382035229005476,0.1468711596108051,0.7574348787594091,2.494971147657482,-2.9485102040816327
D1,AUDCAD,F40,36,-0.004824674193994985,-0.068695727842185,-0.0038707797520197785,-1.5445317795880822,0.5113784735563045,0.9678629657884336,21.220025904019025,-2.9572185644531253
D1,AUDCAD,GBPAUD,36,-0.6398590939392459,0.5277834131597859,-0.8731599721982407,-1.0071490065787336,0.7506479427882501,0.937653235652423,10.767320939094294,-2.9485102040816327
D1,AUDCAD,GBPCAD,36,0.6850383582799721,-0.6511328501131209,0.8839089355228563,-1.3078195633151555,0.6255873039193808,0.9501320027967802,13.550111184037183,-2.9512301791166293
D1,AUDCAD,GBPCHF,36,-0.25314026293361586,-0.0691037735260137,-0.44322184519044294,-1.353093862842386,0.6045456958694919,0.9424260092627927,11.68924296526557,-2.9512301791166293
D1,AUDCAD,GBPJPY,36,0.7037967574425931,-7.938738688066198,1.4802509539537614,-2.06682181820633,0.2580632244694818,0.7754350483729529,2.725373754397128,-2.9485102040816327
D1,AUDCAD,GBPNZD,36,0.17121100090779115,-0.24959220797056691,0.1778596522869191,-1.84158804802667,0.36001846886494204,0.950639044842573,13.692920871289932,-2.9572185644531253
D1,AUDCAD,GBPUSD,36,0.7097391705077608,-0.42133569619432404,1.0642916018673212,-1.9337156774104134,0.31637014529337854,0.8417005451188055,4.022185681122911,-2.9485102040816327
D1,AUDCAD,GCZ25,36,0.8897020707472449,-2.0875170996820556,0.24310431076179104,-2.6756152353018665,0.07835378214273407,0.7924105707991083,2.9790279213492137,-2.9512301791166293
D1,AUDCAD,HK50,36,0.8827952385578551,-4.251096703157884,0.4087911626445857,-2.4109099085783328,0.1386808147558169,0.6961764969104921,1.9139672276919653,-2.9485102040816327
D1,AUDCAD,IT40,36,0.26463880540030327,-1.737602950647032,0.15350923931894037,-0.7977843384069941,0.8197720352117426,0.9488369368911004,13.19819754896071,-2.9485102040816327
D1,AUDCAD,JP225,36,0.7934660806045108,-2.7527630815642303,0.24845442638543247,-1.8001811410468205,0.38037176581368304,0.807543361151333,3.2426644648666643,-2.9485102040816327
D1,AUDCAD,MidDE50,36,-0.5475517349727224,3.118270836404174,-0.3118466038535605,-2.1836019966640148,0.2122507237946486,0.8846881931208203,5.657419737275424,-2.9572185644531253
D1,AUDCAD,NOKJPY,36,0.8905917493926954,-1.8401058284815637,0.6475699350945799,-2.785475153814148,0.06037867925062916,0.6057597684477809,1.382777147938948,-2.9485102040816327
D1,AUDCAD,NOKSEK,36,0.24898505044908734,-0.07079214035832013,0.5223227522158603,-1.5408151106318677,0.5132328258242547,0.9067377282507268,7.080007916021057,-2.960525341210433
D1,AUDCAD,NOR25,36,0.5812219477480258,-4.124047288292784,0.5470586609291873,-1.4832449178676272,0.5417829580080699,0.8696032256067324,4.961035945688666,-2.9485102040816327
D1,AUDCAD,NZDCAD,36,0.5203279266183952,0.04761678645285346,0.7449047663392386,0.35679378751221674,0.9798052618000559,1.0085365550014123,inf,-2.9485102040816327
D1,AUDCAD,NZDCHF,36,-0.33262884933846176,-0.3674813134794581,-0.3544137899260193,-2.3397955041648317,0.15945406309123855,0.9159649214902481,7.896664495670189,-2.9572185644531253
D1,AUDCAD,NZDJPY,36,0.18815376769577286,-1.05234769793928,0.21225870063517066,-0.48950098038973816,0.8940490769859901,0.9740453599383995,26.358006181598387,-2.9485102040816327
D1,AUDCAD,NZDUSD,36,0.3262996757432555,0.07917384806557502,0.3486671455409795,-0.37474791575636235,0.9142303636055145,0.9858759370133191,48.72822706427724,-2.9512301791166293
D1,AUDCAD,OJ_F6,36,-0.11691741838363279,-0.043505071813667404,-0.010804918068772054,-1.1170783434542992,0.7082134296083546,0.9647701154104922,19.326332113562266,-2.9512301791166293
