corr,alpha,beta,phi,half_life_bars,n_obs,adf_stat,adf_p,adf_cv_5pct,sym1,sym2,timeframe
0.996736493228687,0.155641780055781,0.9617429486922784,0.6115044829167877,1.4093141180349036,52,,,,WTI_Z5,XTIUSD,W1
0.9966159633757017,0.22189674852703867,0.9639406717461394,0.6477566102214246,1.596229674849743,52,,,,XAUCHF,XAUEUR,W1
0.9964697608773548,0.08841396041310823,0.9782748789683434,0.5657633863959268,1.2169458052430524,52,,,,BRENT_F6,XBRUSD,W1
0.9948891747157246,0.7711721903381776,0.9084934439326923,0.7032917772114015,1.9692608415212927,52,,,,XAGAUD,XAGUSD,W1
0.993909768649088,1.3383700959292648,0.8491501891097315,0.7837632007666773,2.8448671922609914,52,,,,XAUEUR,XAUGBP,W1
0.9933357194230729,1.1813367899817493,0.7536672551701122,0.6557887138633738,1.6428534464003046,52,,,,US500,USTEC,W1
0.9918083573822545,-3.5126810636865384,0.8652762795736176,0.7379923734353162,2.2814268321753532,52,,,,XAUGBP,XAUJPY,W1
0.9894073274077213,0.40310843020635323,0.9154369768288709,0.8470607095225465,4.1760153293084175,52,,,,XBRUSD,XTIUSD,W1
0.9893262298108678,0.3371114504110868,0.9313458372753052,0.569886464318558,1.2326602179729864,52,,,,BRENT_F6,WTI_Z5,W1
0.9888629088656454,1.5228679164363177,0.8171393119292707,0.7598161166881019,2.523482384426602,52,,,,XAUCHF,XAUGBP,W1
0.9877350918555187,-0.1808657690487374,1.0300677891228722,0.825468649938369,3.6138308085657562,52,,,,WTI_Z5,XBRUSD,W1
0.9875106412975968,0.4766875906467174,0.8969988577449836,0.667046261158288,1.7119146366153857,52,,,,BRENT_F6,XTIUSD,W1
0.9867711412650036,0.1345487221913242,1.0741141088908706,0.7995172843853522,3.097904258776673,52,,,,XAUAUD,XAUGBP,W1
0.9842550382670289,-0.3672810187099369,1.0845064383710956,0.5847439417967445,1.291784238370378,52,,,,CHFJPY,EURJPY,W1
0.9813778820067982,-1.6016118164339783,0.7314772981548717,0.8250655837643882,3.604651974556155,52,,,,XAUEUR,XAUJPY,W1
0.9799417315262877,4.75270174069813,0.7621253983010302,0.7985870866360727,3.081869700756046,52,,,,DXY_Z5,USDCHF,W1
0.9783320462194309,0.14626089460615654,1.117105669155998,0.8475977038466144,4.192021137954407,52,,,,XAGAUD,XAGEUR,W1
0.9766587405029222,-1.3943377102671857,1.2443405987857232,0.8199005633302239,3.4906555125891896,52,,,,XAUAUD,XAUEUR,W1
0.9766494048726017,-3.6131444847333114,0.9274696479695799,0.8162717240224081,3.4143838375181943,52,,,,XAUAUD,XAUJPY,W1
0.9760877940643291,-0.01496757356485362,1.211014801233936,0.6645505413138549,1.6962113627424766,52,,,,EURCAD,EURSGD,W1
0.975274859818844,-1.2957218466661287,0.7030951162939916,0.86486181895896,4.774216635377615,52,,,,XAUCHF,XAUJPY,W1
0.9739248632567656,0.32081381762257916,0.5495299568672266,0.8570253594604487,4.492560759804286,52,,,,EURSGD,EURUSD,W1
0.9737340313007667,-1.615809444501508,1.2826681554619823,0.8068965762005529,3.2305550896753603,52,,,,XAUAUD,XAUCHF,W1
0.9692702674912466,0.6958287667718004,0.7751468862426634,0.9266362831552073,9.09711815704914,52,,,,XAGEUR,XAGUSD,W1
0.9691116877121025,-3.4826871342239833,1.2304296009192492,0.7182863626581497,2.0948156725452183,52,,,,ES35,IT40,W1
0.9679001732922111,9.201081192947484,0.6055426405987431,0.7766546194968784,2.742318651495517,52,,,,SA40,XAGUSD,W1
0.9659217380313168,-1.3741886319713448,0.9583638248741904,0.7633847761009388,2.567277567758492,52,,,,ES35,SA40,W1
0.9642424090622993,-10.897393175216258,1.1404364772914022,0.8161187395250539,3.4112342636531072,52,,,,XAGAUD,XAUJPY,W1
0.9630685790479243,-12.740032935364928,1.247369133088398,0.7823161280975481,2.823451918263639,52,,,,XAGUSD,XAUJPY,W1
0.9584730610197981,-0.2726582267660706,1.4161311777521812,0.8625022508162767,4.686038398342626,52,,,,EURUSD,GBPUSD,W1
