corr,alpha,beta,phi,half_life_bars,n_obs,adf_stat_x,adf_p_x,adf_cv_5pct_x,sym1,sym2,timeframe,adf_stat_y,adf_p_y,adf_cv_5pct_y,n_obs_adf
0.9974711586601644,0.5444072623861835,0.8658422518932384,0.9891646553219012,63.62373677792994,1856,,,,BRENT_G6,XBRUSD,M20,-2.542832420353558,0.10539741457095586,-2.8631018778892563,1856
0.9964517185447044,0.1734240471123289,0.9700781448614302,0.9982127646626549,387.4853931386573,17708,,,,XAUCHF,XAUEUR,M20,-3.2758431625934583,0.015993427594576254,-2.8617035383126197,17708
0.99644280196936,0.1369167783554212,0.9669372305717948,0.9478712917100832,12.947175834172064,16440,,,,BRENT_F6,XBRUSD,M20,-4.1289776256058435,0.0008670497598801909,-2.8617160066953433,16440
0.9962054341031044,0.8619604380834658,0.8026668994679639,0.9894258804177992,65.20410249958206,1850,,,,BRENT_G6,WTI_Z5,M20,-2.299189872875426,0.17222938676274574,-2.8631103639464617,1850
0.995954907163498,0.1738493128019094,0.9575114298059416,0.91113260180541,7.447842973665398,17704,,,,WTI_Z5,XTIUSD,M20,-3.8692291158631003,0.0022733437735045353,-2.8617034735652425,17704
0.995852477194544,2.04738384408781,1.0235107320499206,0.9962578417100364,184.87978949906267,2567,,,,EURHKD,EURUSD,M20,-2.025484940684161,0.2755118258441081,-2.862667468525569,2567
0.9957565418976356,0.7929575300483265,0.8186657871108483,0.9920356361088026,86.68404322245252,1850,,,,BRENT_G6,XTIUSD,M20,-1.8173985922210871,0.37185862606406983,-2.8631069584819104,1850
0.9955784323983944,0.6475076454838984,0.901396208337253,0.9922462405356818,89.04795786341867,1550,,,,Wheat_H6,Wheat_Z5,M20,-1.8363293830403262,0.3625800844594236,-2.863410105779459,1550
0.9950464621637438,0.497256450579707,0.966852229905041,0.9963732255537868,190.7726784291492,5419,,,,GCZ25,XAUCHF,M20,-3.0418204977975796,0.0311691947665899,-2.8620759818914365,5419
0.9950447042895508,0.2282878146993647,0.9447085881884686,0.8999050002835124,6.572228756030269,15180,,,,WTI_V5,XTIUSD,M20,-3.8050242835191836,0.002856326290564512,-2.8617306966287583,15180
0.9949843317802548,0.7901472967310283,0.9222318011143692,0.9968891826342348,222.4715925742825,5419,,,,GCZ25,XAUEUR,M20,-3.0071678010618834,0.034230418243557124,-2.862075882516479,5419
0.9941163962214636,0.7737537611592429,0.9072881559561584,0.998493649610363,459.8033717091756,17695,,,,XAGAUD,XAGUSD,M20,-3.435148680970892,0.00981744457005185,-2.8617037606935365,17695
0.9931895024353984,0.0655835248845964,0.9444187336667432,0.9971847252472558,245.86268944103435,5419,,,,GCZ25,XAUAUD,M20,-2.8035779576251234,0.057764497083061146,-2.8620748907898848,5419
0.9926503372339904,1.224330529384396,0.8836969747427176,0.9979603051011596,339.48216275506263,5419,,,,GCZ25,XAUGBP,M20,-2.2666786930032483,0.18294000727870185,-2.8620737055525103,5419
0.9918974064861906,-2.4659209502906307,0.8086179845245455,0.9974913985472332,275.96149273733056,5419,,,,GCZ25,XAUJPY,M20,-2.573658665064965,0.09856460906388126,-2.862073607019783,5419
0.991233203398048,-2.5022907075397254,0.9523773128522968,0.9980156838789432,348.966192424734,16017,,,,USDCZK,USDHUF,M20,-1.8897996817511504,0.33687477256668635,-2.8617208072181675,16017
0.990412770560324,-0.5628897139329876,1.1380646117705762,0.983763883644006,42.34416683486212,1780,,,,BRENT_F6,BRENT_G6,M20,-2.370046166526719,0.1503697142171656,-2.8631678533187483,1780
0.9898418147043004,0.0532435870125809,0.9757385945412808,0.9601328732561936,17.037510815510483,14107,,,,WTI_V5,XBRUSD,M20,-3.222823862090311,0.01870097753094752,-2.8617451672027716,14107
0.9894984626097606,0.3165682645478949,0.9361412583762566,0.960915782597323,17.38583151175786,16343,,,,BRENT_F6,WTI_Z5,M20,-3.1476495267931752,0.023222044871356793,-2.861717063369498,16343
0.9894948369553664,-2.265112524538388,1.1008979134689452,0.9975083423577966,277.8404492828594,16031,,,,USDCHF,USDDKK,M20,-3.5355945457948987,0.007118646292062872,-2.861720728078079,16031
0.9892099389173836,0.1974098365771794,0.9641697630889748,0.951377833954812,13.906333150609116,14115,,,,BRENT_F6,WTI_V5,M20,-3.131125800406044,0.024333859992012298,-2.8617450507589615,14115
0.9885638187103538,-0.119835495839971,1.015884448465311,0.97350819988008,25.816469042549382,16454,,,,WTI_Z5,XBRUSD,M20,-2.6413892640325023,0.08474105400783927,-2.8617158674710073,16454
0.9873123481224392,0.4742764812234337,0.8975790361806897,0.985210759886306,46.52090892187857,16330,,,,BRENT_F6,XTIUSD,M20,-2.648096916394829,0.08345836107874516,-2.861717161047456,16330
0.9859611712331036,5.696225320348487,0.670797275874049,0.9956603994252444,159.37920726583377,5414,,,,GCZ25,XAGUSD,M20,-2.831473907998248,0.053916684131758603,-2.8620747918190745,5414
0.9856661362186676,0.4583010774213794,1.0804923433691993,0.9978241189110754,318.21261161387645,16031,,,,USDDKK,USDPLN,M20,-3.190324288244008,0.020551623217315736,-2.8617207393795643,16031
0.9850023467135678,4.026614615737524,1.3913354731456806,0.9979274326780172,334.09222838768136,16018,,,,USDHUF,USDPLN,M20,-2.374352083604272,0.14910656420064855,-2.861720637717054,16018
0.9842960919934772,-2.9159078069847264,0.8844700154425562,0.9981449105220724,373.299544207302,16030,,,,USDCHF,USDCZK,M20,-3.1456536791701604,0.023353963670178935,-2.8617205474463416,16030
0.9839435163492504,1.3187500825018013,1.335474355022566,0.9978324710368982,319.4401147019476,16030,,,,USDCZK,USDPLN,M20,-3.2518282569434347,0.017173948887147097,-2.861720558725246,16030
0.9834739560625632,-0.399040957322776,1.090724739378962,0.9976328672799754,292.4747163409328,18623,,,,CHFJPY,EURJPY,M20,-3.5513489340679127,0.006762219410991613,-2.8616955971379805,18623
0.983381483898751,5.820781898907367,0.6647896913283686,0.995919910032304,169.53845897150313,5406,,,,GCZ25,XAGEUR,M20,-2.8440329560370645,0.0522540354558625,-2.8620752870397164,5406
0.981990421520919,5.387914457377995,0.6764118909413713,0.9961958826097276,181.86293047051643,5406,,,,GCZ25,XAGAUD,M20,-2.6469177160615454,0.08368275575506368,-2.862075783178364,5406
0.9793818427627656,3.4097304457070257,0.9060641566591237,0.9985934277029156,492.44506437726807,14220,,,,DXY_Z5,USDPLN,M20,-2.7382610189031555,0.06764820628122797,-2.8617433341327767,14220
