corr,alpha,beta,phi,half_life_bars,n_obs,adf_stat_x,adf_p_x,adf_cv_5pct_x,sym1,sym2,timeframe,adf_stat_y,adf_p_y,adf_cv_5pct_y,n_obs_adf
0.9973420612576104,0.5433886293730286,0.8660756871917329,0.9306662506705932,9.64653140649026,212,,,,BRENT_G6,XBRUSD,H3,-2.5739902479693773,0.09849298640082599,-2.8753374677799957,212
0.9965534092816036,0.1411613990387428,0.965941648446532,0.9372869699503386,10.702367687651488,1921,,,,BRENT_F6,XBRUSD,H3,-3.868299569363711,0.0022809352160486724,-2.8630591884371612,1921
0.996442376377886,0.1742829321207812,0.969966890077882,0.9871864681710314,53.747617204570616,2060,,,,XAUCHF,XAUEUR,H3,-3.3781535865614245,0.011726545178494094,-2.8629461097716633,2060
0.9960392318074892,0.1729071832081148,0.9577347321315344,0.9168097775506224,7.980485177671324,2060,,,,WTI_Z5,XTIUSD,H3,-3.9193436280392873,0.0018970118346329412,-2.8629481649631496,2060
0.995835316005666,2.0474018144451662,1.0233655639490131,0.9674410634176828,20.94051384430691,286,,,,EURHKD,EURUSD,H3,-2.108353385534036,0.24116895709167147,-2.871771355211212,286
0.9958310987057188,0.8609914294328695,0.8029108205461953,0.9052846192732096,6.965891089081528,230,,,,BRENT_G6,WTI_Z5,H3,-2.4028180639672034,0.14094261021376359,-2.8743015807562924,230
0.9956269590727778,0.6455692544570582,0.9017112982334992,0.964867577440446,19.38091896158449,201,,,,Wheat_H6,Wheat_Z5,H3,-1.7656144989463602,0.39766175510104707,-2.8766348847254934,201
0.995382414719332,0.7909816059202415,0.8191514039773566,0.928302371183908,9.316773834249435,230,,,,BRENT_G6,XTIUSD,H3,-0.8120823800436252,0.8155471706758374,-2.874472927517147,230
0.9950060727380664,0.5022282088088366,0.9662338174449356,0.9732417204830744,25.555886211951066,630,,,,GCZ25,XAUCHF,H3,-3.004501739362089,0.034476127802030854,-2.8661459340578905,630
0.9949759166702986,0.2297036955858846,0.9443663267814554,0.8819692532042439,5.51877193553322,1766,,,,WTI_V5,XTIUSD,H3,-3.9376538184323997,0.0017745639572980248,-2.8631835901181564,1766
