time,open,high,low,close,tick_volume,spread,real_volume
2025-09-22 00:00:00,48.50181,48.66223,48.43207,48.59015,11626,4308,0
2025-09-22 04:00:00,48.59015,48.61464,48.52561,48.5545,16756,7265,0
2025-09-22 08:00:00,48.5545,48.71995,48.54107,48.69487,20956,1389,0
2025-09-22 12:00:00,48.69488,48.81892,48.69179,48.78587,17821,1202,0
2025-09-22 16:00:00,48.78752,48.80767,48.69536,48.78574,18635,1131,0
2025-09-22 20:00:00,48.78574,48.83204,48.77393,48.81086,10158,3295,0
2025-09-23 00:00:00,48.75556,48.87927,48.73885,48.86819,10883,4127,0
2025-09-23 04:00:00,48.86819,48.93143,48.81106,48.81917,15934,5970,0
2025-09-23 08:00:00,48.81917,48.94375,48.79956,48.91219,28905,1409,0
2025-09-23 12:00:00,48.91219,48.95248,48.82281,48.87655,18974,1237,0
2025-09-23 16:00:00,48.87655,48.92636,48.82416,48.90336,24916,1128,0
2025-09-23 20:00:00,48.90336,48.96124,48.86504,48.90002,31056,3333,0
2025-09-24 00:00:00,48.90598,48.96062,48.83263,48.90615,14618,4816,0
2025-09-24 04:00:00,48.90578,48.9133,48.85347,48.90671,16812,5726,0
2025-09-24 08:00:00,48.90676,48.94183,48.81893,48.83573,23328,1359,0
2025-09-24 12:00:00,48.83574,48.85403,48.70494,48.7176,20082,1187,0
2025-09-24 16:00:00,48.7176,48.73317,48.64511,48.65402,24467,1153,0
2025-09-24 20:00:00,48.65443,48.68487,48.64582,48.66776,12726,3136,0
2025-09-25 00:00:00,48.62524,48.80112,48.61673,48.78854,12667,5726,0
2025-09-25 04:00:00,48.78813,48.8238,48.73128,48.81171,14210,5836,0
2025-09-25 08:00:00,48.81171,48.83452,48.74933,48.79652,23018,1982,0
2025-09-25 12:00:00,48.79693,48.83779,48.57735,48.61999,21170,1797,0
2025-09-25 16:00:00,48.61999,48.66554,48.47798,48.48549,26611,1753,0
2025-09-25 20:00:00,48.48549,48.49034,48.37623,48.45211,15285,4540,0
2025-09-26 00:00:00,48.44775,48.53456,48.3565,48.486,14246,8558,0
2025-09-26 04:00:00,48.48602,48.56601,48.46751,48.55758,11710,4943,0
2025-09-26 08:00:00,48.55759,48.61321,48.52874,48.57971,19846,1477,0
2025-09-26 12:00:00,48.57971,48.60513,48.49999,48.59529,19202,1250,0
2025-09-26 16:00:00,48.59446,48.68252,48.57342,48.62612,23050,1251,0
2025-09-26 20:00:00,48.6257,48.67701,48.61647,48.64765,15034,3397,0
2025-09-29 00:00:00,48.61373,48.74148,48.59386,48.74019,10790,4013,0
2025-09-29 04:00:00,48.74019,48.78009,48.69889,48.74755,11325,5797,0
2025-09-29 08:00:00,48.74755,48.80741,48.70044,48.76698,19735,1357,0
2025-09-29 12:00:00,48.76657,48.88401,48.71081,48.87664,19347,1250,0
2025-09-29 16:00:00,48.87623,48.89723,48.75786,48.76948,20337,1265,0
2025-09-29 20:00:00,48.76948,48.79034,48.43204,48.75115,12922,3281,0
2025-09-30 00:00:00,48.73786,48.79163,48.67232,48.74607,10926,4389,0
2025-09-30 04:00:00,48.74607,48.77178,48.69529,48.76613,13063,4527,0
2025-09-30 08:00:00,48.76613,48.93883,48.76352,48.90925,21542,1501,0
2025-09-30 12:00:00,48.90925,48.92161,48.81706,48.83653,15894,1249,0
2025-09-30 16:00:00,48.83653,48.90644,48.7507,48.89572,24668,1242,0
2025-09-30 20:00:00,48.89572,48.90905,48.78499,48.79711,13070,3620,0
2025-10-01 00:00:00,48.79618,48.83295,48.75861,48.8153,12641,4592,0
2025-10-01 04:00:00,48.8153,48.90786,48.78137,48.89772,11994,4601,0
2025-10-01 08:00:00,48.89772,49.01884,48.86374,48.89712,27120,1354,0
2025-10-01 12:00:00,48.89796,48.97464,48.75495,48.89085,25974,1128,0
2025-10-01 16:00:00,48.89127,48.94782,48.72954,48.75951,27877,1127,0
2025-10-01 20:00:00,48.76035,48.84616,48.48001,48.73459,14994,3379,0
2025-10-02 00:00:00,48.41796,48.88435,48.41796,48.84627,11196,7641,0
2025-10-02 04:00:00,48.84627,48.90182,48.81954,48.86508,11531,8249,0
2025-10-02 08:00:00,48.86508,49.00711,48.84486,48.99455,20985,2004,0
2025-10-02 12:00:00,48.99458,49.02543,48.92559,48.9387,18738,1761,0
